2024/01/31 03:29:01 [alert] 177#177: 512 worker_connections are not enough
2024/01/31 03:29:01 [error] 177#177: *845 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "10.10.10.31", referrer: "http://10.10.10.31:8080/"
2024/01/31 03:29:09 [error] 177#177: *850 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "GET /api/ HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "10.10.10.31:8181", referrer: "http://10.10.10.31:8181/"
2024/01/31 03:29:21 [error] 177#177: *850 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.31:8181", referrer: "http://10.10.10.31:8181/login"
2024/01/31 03:29:33 [error] 177#177: *850 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.31:8181", referrer: "http://10.10.10.31:8181/login"
2024/01/31 03:29:54 [error] 177#177: *850 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "GET /api/ HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "10.10.10.31:8181", referrer: "http://10.10.10.31:8181/"
2024/01/31 03:30:03 [error] 177#177: *850 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.31:8181", referrer: "http://10.10.10.31:8181/login"
2024/01/31 03:33:16 [error] 183#183: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.31:8181", referrer: "http://10.10.10.31:8181/login"
2024/01/31 03:39:17 [error] 186#186: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "GET /api/ HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "10.10.10.39:81", referrer: "http://10.10.10.39:81/"
2024/01/31 03:39:25 [error] 186#186: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.39:81", referrer: "http://10.10.10.39:81/login"
2024/01/31 03:39:31 [error] 186#186: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.39:81", referrer: "http://10.10.10.39:81/login"
2024/01/31 03:39:40 [warn] 186#186: 512 worker_connections are not enough, reusing connections
2024/01/31 03:39:40 [alert] 186#186: 512 worker_connections are not enough
2024/01/31 03:39:40 [error] 187#187: *830 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "10.10.10.39", referrer: "http://10.10.10.39/"
2024/01/31 03:39:49 [error] 186#186: *834 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "GET /api/ HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "10.10.10.39:81", referrer: "http://10.10.10.39:81/"
2024/01/31 03:41:53 [error] 186#186: *836 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "dockerdeb4.ad.sysinfo.io:81", referrer: "http://dockerdeb4.ad.sysinfo.io:81/login"
2024/01/31 03:59:29 [error] 185#185: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "dockerdeb4.ad.sysinfo.io:81", referrer: "http://dockerdeb4.ad.sysinfo.io:81/login"
2024/01/31 04:00:25 [error] 185#185: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "GET /api/ HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "dockerdeb4.ad.sysinfo.io:81", referrer: "http://dockerdeb4.ad.sysinfo.io:81/"
2024/01/31 04:00:32 [error] 185#185: *4 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "dockerdeb4.ad.sysinfo.io:81", referrer: "http://dockerdeb4.ad.sysinfo.io:81/login"
2024/01/31 04:10:52 [alert] 185#185: *893 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "10.10.10.39", referrer: "http://10.10.10.39/"
2024/01/31 04:10:56 [error] 185#185: *894 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "GET /api/ HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "10.10.10.39:81", referrer: "http://10.10.10.39:81/"
2024/01/31 04:11:06 [error] 185#185: *894 connect() failed (111: Connection refused) while connecting to upstream, client: 10.10.10.67, server: nginxproxymanager, request: "POST /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "10.10.10.39:81", referrer: "http://10.10.10.39:81/login"
