#TYPE System.Diagnostics.Process
__NounName,Name,Handles,VM,WS,PM,NPM,Path,Company,CPU,FileVersion,ProductVersion,Description,Product,BasePriority,ExitCode,HasExited,ExitTime,Handle,HandleCount,Id,MachineName,MainWindowHandle,MainWindowTitle,MainModule,MaxWorkingSet,MinWorkingSet,Modules,NonpagedSystemMemorySize,NonpagedSystemMemorySize64,PagedMemorySize,PagedMemorySize64,PagedSystemMemorySize,PagedSystemMemorySize64,PeakPagedMemorySize,PeakPagedMemorySize64,PeakWorkingSet,PeakWorkingSet64,PeakVirtualMemorySize,PeakVirtualMemorySize64,PriorityBoostEnabled,PriorityClass,PrivateMemorySize,PrivateMemorySize64,PrivilegedProcessorTime,ProcessName,ProcessorAffinity,Responding,SessionId,StartInfo,StartTime,SynchronizingObject,Threads,TotalProcessorTime,UserProcessorTime,VirtualMemorySize,VirtualMemorySize64,EnableRaisingEvents,StandardInput,StandardOutput,StandardError,WorkingSet,WorkingSet64,Site,Container
Process,acs,184,52658176,6139904,3719168,4480,C:\WINDOWS\system32\ACS.exe,Atheros,0.46875,4.2.0.384,4.2.0.384,ACS,"Atheros Configuration Service (ACS)",8,,False,,2224,184,1536,.,0,,"System.Diagnostics.ProcessModule (ACS.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,4480,4480,3719168,3719168,68580,68580,3796992,3796992,6213632,6213632,60129280,60129280,True,Normal,3719168,3719168,00:00:00.2031250,acs,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:00:38 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.4687500,00:00:00.2656250,52658176,52658176,False,,,,6139904,6139904,,
Process,AGRSMMSG,81,33165312,3551232,983040,3240,C:\WINDOWS\AGRSMMSG.exe,"Agere Systems",0.078125,"2.1.72 2.1.72 06/29/2006 13:32:12","2.1.72 2.1.72 06/29/2006 13:32:12","SoftModem Messaging Applet","Agere SoftModem Messaging Applet",8,,False,,2232,81,3524,.,0,,"System.Diagnostics.ProcessModule (AGRSMMSG.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,3240,3240,983040,983040,61220,61220,983040,983040,3555328,3555328,33169408,33169408,True,Normal,983040,983040,00:00:00.0312500,AGRSMMSG,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:03:18 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0781250,00:00:00.0468750,33165312,33165312,False,,,,3551232,3551232,,
Process,alg,104,33837056,3592192,1150976,5168,C:\WINDOWS\System32\alg.exe,"Microsoft Corporation",0.015625,"5.1.2600.5512 (xpsp.080413-0852)",5.1.2600.5512,"Application Layer Gateway Service","Microsoft? Windows? Operating System",8,,False,,2236,104,2640,.,0,,"System.Diagnostics.ProcessModule (alg.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,5168,5168,1150976,1150976,65100,65100,1183744,1183744,3608576,3608576,34787328,34787328,True,Normal,1150976,1150976,00:00:00,alg,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:01:02 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0156250,00:00:00.0156250,33837056,33837056,False,,,,3592192,3592192,,
Process,AppleMobileDeviceService,82,19378176,2392064,1773568,4568,"C:\Program Files\Common Files\Apple\Mobile Device Support\bin\AppleMobileDeviceService.exe","Apple Inc.",0.03125,2.0.28.0,2.0.28.0,"Apple Mobile Device Service","Apple Mobile Device Service",8,,False,,2240,82,2020,.,0,,"System.Diagnostics.ProcessModule (AppleMobileDeviceService.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,4568,4568,1773568,1773568,31548,31548,1773568,1773568,2392064,2392064,20426752,20426752,True,Normal,1773568,1773568,00:00:00,AppleMobileDeviceService,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:00:51 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0312500,00:00:00.0312500,19378176,19378176,False,,,,2392064,2392064,,
Process,ATSwpNav,136,51662848,5996544,4395008,4200,"C:\Program Files\Fingerprint Sensor\ATSwpNav.exe","AuthenTec, Inc.",0.09375,"6, 5, 1, 0","6, 5, 1, 0","ATSwpNav Application"," ATSwpNav Application",8,,False,,2244,136,4056,.,0,,"System.Diagnostics.ProcessModule (ATSwpNav.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,4200,4200,4395008,4395008,75316,75316,6201344,6201344,6057984,6057984,62365696,62365696,True,Normal,4395008,4395008,00:00:00.0781250,ATSwpNav,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:03:19 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.1093750,00:00:00.0312500,51662848,51662848,False,,,,5996544,5996544,,
Process,BtnHnd,133,41115648,5242880,2363392,4120,"C:\Program Files\Fujitsu\BtnHnd\BtnHnd.exe","FUJITSU LIMITED",0.15625,"2, 5, 0, 1","2, 5, 0, 0","Button handler","Button handler",8,,False,,2248,133,4008,.,65994,,"System.Diagnostics.ProcessModule (BtnHnd.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,4120,4120,2363392,2363392,74820,74820,2363392,2363392,5242880,5242880,43089920,43089920,True,Normal,2363392,2363392,00:00:00.1093750,BtnHnd,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:03:19 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.1562500,00:00:00.0468750,41115648,41115648,False,,,,5242880,5242880,,
Process,cmd,32,31039488,2797568,2007040,2280,C:\WINDOWS\system32\cmd.exe,"Microsoft Corporation",0.046875,"5.1.2600.5512 (xpsp.080413-2111)",5.1.2600.5512,"Windows Command Processor","Microsoft? Windows? Operating System",8,,False,,2252,32,2308,.,69684,C:\WINDOWS\system32\cmd.exe,"System.Diagnostics.ProcessModule (cmd.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,2280,2280,2007040,2007040,58868,58868,2011136,2011136,2797568,2797568,37523456,37523456,True,Normal,2007040,2007040,00:00:00.0312500,cmd,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 1:15:22 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0468750,00:00:00.0156250,31039488,31039488,False,,,,2797568,2797568,,
Process,csrss,822,31531008,5120000,1835008,11992,\??\C:\WINDOWS\system32\csrss.exe,,8.625,,,,,13,,False,,2256,822,1016,.,0,,"System.Diagnostics.ProcessModule (csrss.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,11992,11992,1835008,1835008,96204,96204,2527232,2527232,5242880,5242880,51466240,51466240,True,Normal,1835008,1835008,00:00:05.6250000,csrss,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:00:34 PM",,System.Diagnostics.ProcessThreadCollection,00:00:08.6250000,00:00:03,31531008,31531008,False,,,,5120000,5120000,,
Process,ctfmon,258,42037248,5279744,1306624,9960,C:\WINDOWS\system32\ctfmon.exe,"Microsoft Corporation",0.84375,"5.1.2600.5512 (xpsp.080413-2105)",5.1.2600.5512,"CTF Loader","Microsoft? Windows? Operating System",8,,False,,2132,258,2800,.,0,,"System.Diagnostics.ProcessModule (ctfmon.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,9960,9960,1306624,1306624,95340,95340,1310720,1310720,5337088,5337088,42094592,42094592,True,Normal,1306624,1306624,00:00:00.6562500,ctfmon,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:03:02 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.8437500,00:00:00.1875000,42037248,42037248,False,,,,5279744,5279744,,
Process,daemon,105,36212736,4231168,1458176,3880,"C:\Program Files\D-Tools\daemon.exe","DAEMON'S HOME",0.0625,3.47.0.0,3.47.0.0,"Virtual DAEMON Manager","DAEMON Tools",8,,False,,2208,105,472,.,0,,"System.Diagnostics.ProcessModule (daemon.exe)",1413120,204800,System.Diagnostics.ProcessModuleCollection,3880,3880,1458176,1458176,68644,68644,1458176,1458176,4235264,4235264,36216832,36216832,True,Normal,1458176,1458176,00:00:00.0468750,daemon,3,True,0,System.Diagnostics.ProcessStartInfo,"8/5/2008 12:03:20 PM",,System.Diagnostics.ProcessThreadCollection,00:00:00.0781250,00:00:00.0312500,36212736,36212736,False,,,,4231168,4231168,,
